,availability,location,size,total_sqft,bath,price
1,0,1st Block Jayanagar,3,1059.5,3.0,194.0
3,0,1st Block Jayanagar,2,802.75,2.0,148.0
7,1,1st Phase JP Nagar,3,1218.75,3.0,167.0
9,1,1st Phase JP Nagar,3,1315.6000000000001,3.0,157.0
11,1,1st Phase JP Nagar,2,906.1,2.0,100.0
12,0,1st Phase JP Nagar,2,700.0500000000001,2.0,93.0
13,0,1st Phase JP Nagar,3,1033.5,3.0,131.0
15,1,1st Phase JP Nagar,2,767.0,2.0,88.5
16,1,1st Phase JP Nagar,2,780.0,2.0,86.0
17,1,1st Phase JP Nagar,2,975.8,2.0,85.0
18,0,1st Phase JP Nagar,3,1350.05,3.0,175.0
19,1,1st Phase JP Nagar,2,783.25,2.0,85.0
20,1,2nd Phase Judicial Layout,3,942.5,2.0,50.75
21,1,2nd Phase Judicial Layout,2,747.5,2.0,40.25
22,1,2nd Phase Judicial Layout,3,1092.65,3.0,69.0
23,1,2nd Phase Judicial Layout,2,747.5,2.0,40.25
24,1,2nd Stage Nagarbhavi,4,2100.0,3.0,170.0
25,1,5th Phase JP Nagar,2,698.75,2.0,60.0
26,1,5th Phase JP Nagar,2,805.0,3.0,52.5
27,1,5th Phase JP Nagar,2,879.1999999999999,2.0,62.8
28,1,5th Phase JP Nagar,2,784.5500000000001,2.0,63.0
29,1,5th Phase JP Nagar,3,1207.5,2.0,100.0
30,1,5th Phase JP Nagar,2,936.0,2.0,60.0
31,1,5th Phase JP Nagar,3,910.0,2.0,88.0
32,1,5th Phase JP Nagar,2,942.5,2.0,58.0
33,1,5th Phase JP Nagar,3,1190.0,2.0,100.0
35,1,5th Phase JP Nagar,1,420.0,1.0,30.0
36,1,5th Phase JP Nagar,2,903.5,2.0,65.0
37,1,5th Phase JP Nagar,2,879.1999999999999,2.0,62.8
38,1,5th Phase JP Nagar,2,650.0,2.0,48.0
39,1,5th Phase JP Nagar,1,358.8,1.0,23.5
40,1,5th Phase JP Nagar,2,780.0,2.0,51.0
43,1,5th Phase JP Nagar,2,721.0,2.0,57.0
44,1,5th Phase JP Nagar,2,780.0,2.0,68.0
45,1,5th Phase JP Nagar,2,833.0,2.0,61.8
46,1,5th Phase JP Nagar,2,702.0,2.0,53.0
47,1,5th Phase JP Nagar,2,676.65,2.0,54.0
48,1,5th Phase JP Nagar,2,707.0,2.0,57.0
49,1,5th Phase JP Nagar,3,942.5,2.0,73.0
50,1,5th Phase JP Nagar,2,698.75,2.0,60.0
51,1,6th Phase JP Nagar,2,774.8000000000001,2.0,74.0
52,1,6th Phase JP Nagar,2,767.0,2.0,80.0
55,1,6th Phase JP Nagar,2,798.0,2.0,65.0
56,1,6th Phase JP Nagar,3,1326.0,3.0,200.0
57,1,6th Phase JP Nagar,2,788.45,2.0,63.0
58,1,6th Phase JP Nagar,2,949.0,2.0,80.0
59,1,6th Phase JP Nagar,3,1176.5,3.0,131.0
60,1,6th Phase JP Nagar,3,984.75,2.0,135.0
61,1,6th Phase JP Nagar,2,774.8000000000001,2.0,75.0
62,1,6th Phase JP Nagar,2,832.0,2.0,88.0
63,1,7th Phase JP Nagar,2,756.0,2.0,72.0
64,1,7th Phase JP Nagar,2,825.5,2.0,93.0
65,1,7th Phase JP Nagar,3,993.9999999999999,2.0,100.0
66,1,7th Phase JP Nagar,3,1295.0,3.0,150.0
67,1,7th Phase JP Nagar,2,871.5,2.0,94.0
68,1,7th Phase JP Nagar,2,763.75,2.0,82.0
69,1,7th Phase JP Nagar,3,910.0,2.0,95.0
70,0,7th Phase JP Nagar,3,1446.25,3.0,160.0
71,1,7th Phase JP Nagar,2,735.0,2.0,71.0
72,1,7th Phase JP Nagar,2,642.5999999999999,2.0,50.49
73,1,7th Phase JP Nagar,3,942.5,2.0,100.0
74,1,7th Phase JP Nagar,3,923.0,2.0,96.0
75,1,7th Phase JP Nagar,3,1092.0,3.0,120.0
76,1,7th Phase JP Nagar,2,637.0,2.0,69.0
77,1,7th Phase JP Nagar,2,767.0,2.0,72.0
78,1,7th Phase JP Nagar,3,979.9999999999999,3.0,115.0
